X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,County,FIPS,Incident_Rate
-75.03151402,42.6349257900001,1911,New York,US,2023/03/10 13:21:02+00,42.63492579,-75.03151402,13425,108,Otsego,36077,22565.6799959659
-73.74965532,41.42630093,1913,New York,US,2023/03/10 13:21:02+00,41.42630093,-73.74965532,31777,149,Putnam,36079,32319.9755899105
-73.81684712,40.71088124,1914,New York,US,2023/03/10 13:21:02+00,40.71088124,-73.81684712,904779,13415,Queens,36081,40143.5671635036
-73.51089874,42.7134813600001,1915,New York,US,2023/03/10 13:21:02+00,42.71348136,-73.51089874,42135,316,Rensselaer,36083,26547.7525612107
-74.14808598,40.58582155,1916,New York,US,2023/03/10 13:21:02+00,40.58582155,-74.14808598,227585,2708,Richmond,36085,47797.6154222576
-74.02560498,41.1502789400001,1917,New York,US,2023/03/10 13:21:02+00,41.15027894,-74.02560498,119199,978,Rockland,36087,36587.7914846726
-73.8665389499999,43.10904162,1918,New York,US,2023/03/10 13:21:02+00,43.10904162,-73.86653895,62003,417,Saratoga,36091,26973.8931450473
-74.05278291,42.81668777,1919,New York,US,2023/03/10 13:21:02+00,42.81668777,-74.05278291,44064,379,Schenectady,36093,28373.6534040786
-74.4433903,42.5883174200001,1920,New York,US,2023/03/10 13:21:02+00,42.58831742,-74.4433903,6647,44,Schoharie,36095,21442.627181522
-76.8773298999999,42.3918401500001,1921,New York,US,2023/03/10 13:21:02+00,42.39184015,-76.8773299,4364,32,Schuyler,36097,24507.2162632673
-76.8249706399999,42.78081007,1922,New York,US,2023/03/10 13:21:02+00,42.78081007,-76.82497064,7754,95,Seneca,36099,22795.1552210724
-75.06550039,44.4976179000001,1923,New York,US,2023/03/10 13:21:02+00,44.4976179,-75.06550039,26587,223,St. Lawrence,36089,24677.0001856321
-77.3829924,42.2689144,1924,New York,US,2023/03/10 13:21:02+00,42.2689144,-77.3829924,25561,278,Steuben,36101,26799.400287275
-72.8012171999999,40.8832011900001,1925,New York,US,2023/03/10 13:21:02+00,40.88320119,-72.8012172,569776,4963,Suffolk,36103,38586.9981125572
-74.7639455899999,41.7157949300001,1926,New York,US,2023/03/10 13:21:02+00,41.71579493,-74.76394559,24840,154,Sullivan,36105,32930.3213490296
-76.30835812,42.16852837,1927,New York,US,2023/03/10 13:21:02+00,42.16852837,-76.30835812,14190,95,Tioga,36107,29438.0017841213
-76.47229843,42.4494576500001,1928,New York,US,2023/03/10 13:21:02+00,42.44945765,-76.47229843,26871,102,Tompkins,36109,26297.7099236641
-74.26252104,41.89027881,1929,New York,US,2023/03/10 13:21:02+00,41.89027881,-74.26252104,43566,420,Ulster,36111,24534.1352570492
-73.8433699,43.56173026,1931,New York,US,2023/03/10 13:21:02+00,43.56173026,-73.8433699,19090,157,Warren,36113,29854.2474665332
-73.43043448,43.3115379400001,1932,New York,US,2023/03/10 13:21:02+00,43.31153794,-73.43043448,16025,137,Washington,36115,26182.9292203124
-77.0297652799999,43.1549436500001,1933,New York,US,2023/03/10 13:21:02+00,43.15494365,-77.02976528,22104,203,Wayne,36117,24582.3972953135
-73.7574165299999,41.16278376,1934,New York,US,2023/03/10 13:21:02+00,41.16278376,-73.75741653,336689,3002,Westchester,36119,34799.6808288527
-78.2219957899999,42.70145109,1935,New York,US,2023/03/10 13:21:02+00,42.70145109,-78.22199579,10020,96,Wyoming,36121,25138.6136129858
-77.10369919,42.6350548400001,1936,New York,US,2023/03/10 13:21:02+00,42.63505484,-77.10369919,4471,43,Yates,36123,17946.4536587324
